Start_Id,average,name,V3,V4,latitude,longitude
79,57.2417582417582,C & O Canal & Wisconsin Ave NW, Washington, DC,38.9038422,-77.0627724
80,54.4505494505495,California St & Florida Ave NW, Washington, DC,38.9177788,-77.0404218
81,72.0879120879121,Calvert St & Woodley Pl NW, Washington, DC,38.92345,-77.050209
82,49.8901098901099,Columbia Rd & Belmont St NW, Washington, DC,38.92057,-77.043939
83,24.6593406593407,Columbia Rd & Georgia Ave NW, Washington, DC,38.92813,-77.023079
84,145.252747252747,Columbus Circle / Union Station, Washington, DC,38.8973131,-77.0047476
85,0.78021978021978,Congress Heights Metro, Washington, DC,38.8446138,-76.9890402
86,28.043956043956,Connecticut Ave & Newark St NW , Washington, DC,38.93407,-77.057649
87,63.3296703296703,7th & M St NW, Washington, DC,38.90564,-77.021899
88,50.2087912087912,D Street & Maryl& Avenue NE, Washington, DC,38.89478,-76.996579
89,58.7362637362637,7th & North Carolina Ave SE, Washington, DC,38.88742,-76.996149
90,104.648351648352,Pennsylvania Ave & 7th St SE, Washington, DC,38.88458,-76.996159
91,13.956043956044,Fairfax Village,,,38.865676,-76.952145
92,0.505494505494505,Eckington Pl & Q St NE, Washington, DC,38.91109,-77.004779
93,46.6263736263736,Florida Ave & R St NW, Washington, DC,38.91262,-77.013299
94,44.7692307692308,Georgetown Harbor/30th St NW, Washington, DC,38.902285,-77.058599
95,36.6043956043956,Georgia & New Hampshire Ave NW, Washington, DC,38.9362496,-77.0242799
96,15.8351648351648,Georgia Ave & Fairmont St NW, Washington, DC,38.92517,-77.022669
97,1.16483516483516,Good Hope & Naylor Rd,  Washington, DC,38.8612,-76.969359
98,0.626373626373626,Good Hope & 14th Street SE, Washington, DC,38.866775,-76.985504
99,1.83516483516484,Good Hope & MLK,,,38.8674403,-76.9886086
100,13.0989010989011,Harvard St & Adams Mill Rd NW, Washington, DC,38.92753,-77.042609
101,30.7582417582418,Idaho Avenue & Newark Street NW, Washington, DC,38.9351054,-77.0739748
102,102.032967032967,Jefferson Drive & 14th Street SW, Washington, DC,38.88861,-77.031959
103,28.8571428571429,Jefferson Memorial, Washington, DC,38.88118,-77.036407
104,4.64835164835165,John McCormack Rd & Michigan Ave NE, Washington, DC,38.9335,-76.995359
105,10.7252747252747,Kennedy Center, Washington, DC,38.89606,-77.055198
106,45.010989010989,7th & C St SW, Washington, DC,,,38.88559,-77.021899
107,53.8571428571429,Lamont & Mt Pleasant NW, Washington, DC,38.93115,-77.038319
108,72.7802197802198,13th & East Capitol St NE, Washington, DC,38.89022,-76.988289
109,34.0879120879121,M St & New Jersey Ave SE, Washington, DC,38.87649,-77.004179
110,53.1208791208791,M St & Pennsylvania Avenue NW, Washington, DC,38.9052288,-77.05796
111,65.3626373626374,Maryland Avenue & Independence SW, Washington, DC,38.88757,-77.018829
112,172.494505494505,Massachusetts Ave & Dupont Circle NW, Washington, DC,38.90992,-77.044179
113,49.7142857142857,McPherson Square-14th & H St NW, Washington, DC,38.895815,-77.031949
114,82.967032967033,12th & G St NW, Washington, DC,38.896745,-77.028064
115,0.945054945054945,Minnesota Ave Metro, Washington, DC,38.8952081,-76.9490852
116,90.3516483516484,New Hampshire Avenue & T Street NW, Washington, DC,38.9156,-77.037889
117,65.2747252747253,New York Ave & 15th St NW, Washington, DC,38.8988543,-77.0336504
118,76.967032967033,North Capitol St & F St NW, Washington, DC,38.89732,-77.009039
119,63.7472527472527,Ohio Drive & West Basin Drive SW, Washington, DC,38.88377,-77.046379
120,65.967032967033,Park Rd & Holmead Pl NW, Washington, DC,38.93093,-77.030869
121,1.26373626373626,Pennsylvania Ave SE & Minnesota SE, Washington, DC,38.87391,-76.971379
122,38.5824175824176,Potomac & Pennsylvania Ave SE, Washington, DC,38.880134,-76.983409
123,0.516483516483517,Randle Circle & Minnesota Ave NE, Washington, DC,38.8785406,-76.9611286
124,73.4065934065934,Jefferson Drive & 12th Street SW, Washington, DC,38.88866,-77.028179
125,27.0989010989011,Wisconsin Ave & Albemarle St NW, Washington, DC,38.9479287,-77.0796836
126,101.450549450549,Thomas Circle, Washington, DC,38.9057325,-77.0318885
127,44.6373626373626,US Dept of State / Virgina Ave & 21st St NW, Washington, DC,38.8952381,-77.0466679
128,49.9340659340659,12th & Independence Ave SW, Washington, DC,38.88757,-77.027929
129,23.3956043956044,Van Ness Metro , Washington, DC,38.9449376,-77.0651709
130,14.8681318681319,Ward Circle , Washington, DC,38.938233,-77.085627
131,3.73626373626374,White House, Washington, DC,38.8964042,-77.0394735
132,25.3516483516484,3000 Connecticut Ave NW, Washington, DC,38.929939,-77.055247
